2025-08-16 06:59:41 | IP: 66.249.92.163 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 06:59:57 | IP: 74.125.215.232 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 06:59:58 | IP: 74.125.215.230 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:06:14 | IP: 2a03:2880:32ff:2:: | País: DK | Motivo: Acesso fora do Brasil
2025-08-16 07:08:45 | IP: 2a02:6ea0:cc02:5516::13 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:10:21 | IP: 185.252.220.151 | País: RO | Motivo: Acesso fora do Brasil
2025-08-16 07:10:35 | IP: 3.213.106.226 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:10:39 | IP: 3.220.70.171 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:11:05 | IP: 2a02:6ea0:c041:2343::12 | País: NL | Motivo: Acesso fora do Brasil
2025-08-16 07:11:08 | IP: 2a02:6ea0:c041:2343::12 | País: NL | Motivo: Acesso fora do Brasil
2025-08-16 07:12:07 | IP: 2a02:6ea0:ce14:3035::13 | País: PL | Motivo: Acesso fora do Brasil
2025-08-16 07:12:16 | IP: 2a02:6ea0:ce14:3035::13 | País: PL | Motivo: Acesso fora do Brasil
2025-08-16 07:12:23 | IP: 2a02:6ea0:ce14:3035::13 | País: PL | Motivo: Acesso fora do Brasil
2025-08-16 07:12:41 | IP: 2a02:6ea0:ce14:3035::13 | País: PL | Motivo: Acesso fora do Brasil
2025-08-16 07:13:00 | IP: 212.102.51.15 | País: JP | Motivo: Acesso fora do Brasil
2025-08-16 07:28:32 | IP: 18.118.47.38 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:28:34 | IP: 18.118.47.38 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 07:28:46 | IP: 18.118.47.38 | País: US | Motivo: Acesso fora do Brasil
2025-08-16 09:15:51 | IP: 185.169.4.152 | País: LT | Motivo: Acesso fora do Brasil
